SATZART;AGS;NAME;EWZ;EW_M;EW_W;EW_D;EW_A;ALTER_1;ALTER_2;ALTER_3;ALTER_4;ALTER_5
50;092715206;Schöllnach (VGem); 6 205; 3 070; 3 135; 6 110;  95; 1 215;  879; 1 810; 1 308;  993
60;092715206114;Außernzell; 1 383;  689;  694; 1 361;  22;  288;  185;  423;  279;  208
60;092715206149;Schöllnach, M; 4 822; 2 381; 2 441; 4 749;  73;  927;  694; 1 387; 1 029;  785
40;09272;Freyung-Grafenau; 78 172; 38 530; 39 650; 76 660; 1 510; 13 450; 10 640; 21 800; 17 250; 15 030
50;092720118;Freyung, St; 6 877; 3 304; 3 573; 6 660;  217;  973;  966; 1 764; 1 665; 1 509
60;092720118118;Freyung, St; 6 877; 3 304; 3 573; 6 660;  217;  973;  966; 1 764; 1 665; 1 509
50;092720120;Grafenau, St; 8 361; 4 152; 4 209; 8 012;  349; 1 451; 1 101; 2 288; 1 847; 1 674
60;092720120120;Grafenau, St; 8 361; 4 152; 4 209; 8 012;  349; 1 451; 1 101; 2 288; 1 847; 1 674
50;092720121;Grainet; 2 386; 1 163; 1 223; 2 368;  18;  476;  347;  694;  524;  345
60;092720121121;Grainet; 2 386; 1 163; 1 223; 2 368;  18;  476;  347;  694;  524;  345
50;092720122;Haidmühle; 1 330;  673;  657; 1 304;  26;  222;  150;  369;  301;  288
60;092720122122;Haidmühle; 1 330;  673;  657; 1 304;  26;  222;  150;  369;  301;  288
50;092720127;Hohenau; 3 357; 1 692; 1 665; 3 327;  30;  570;  480; 1 005;  744;  558
60;092720127127;Hohenau; 3 357; 1 692; 1 665; 3 327;  30;  570;  480; 1 005;  744;  558
50;092720129;Jandelsbrunn; 3 336; 1 686; 1 650; 3 300;  36;  646;  516;  961;  679;  534
60;092720129129;Jandelsbrunn; 3 336; 1 686; 1 650; 3 300;  36;  646;  516;  961;  679;  534
50;092720134;Mauth; 2 317; 1 126; 1 191; 2 290;  27;  350;  320;  612;  542;  493
60;092720134134;Mauth; 2 317; 1 126; 1 191; 2 290;  27;  350;  320;  612;  542;  493
50;092720136;Neureichenau; 4 307; 2 144; 2 163; 4 247;  60;  782;  605; 1 183;  974;  763
60;092720136136;Neureichenau; 4 307; 2 144; 2 163; 4 247;  60;  782;  605; 1 183;  974;  763
50;092720140;Ringelai; 1 966;  967;  999; 1 934;  32;  362;  260;  520;  430;  394
60;092720140140;Ringelai; 1 966;  967;  999; 1 934;  32;  362;  260;  520;  430;  394
50;092720141;Röhrnbach, M; 4 468; 2 247; 2 221; 4 355;  113;  833;  615; 1 280;  939;  801
60;092720141141;Röhrnbach, M; 4 468; 2 247; 2 221; 4 355;  113;  833;  615; 1 280;  939;  801
